argumentTypeId	argumentTypeName	sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceUrl	referenceDoi	referenceCitation
https://en.wiktionary.org/wiki/refute	refute		WORMS:137076	Lutra lutra					http://purl.obolibrary.org/obo/RO_0002458	preyed upon by		WORMS:127186	Salmo salar											10.1111/j.1095-8649.1990.tb03597.x	Carss, D.N., H. Kruuk and J.W.H. Conroy 1990 Predation on adult Atlantic salmon, Salmo salar L., by otters, Lutra lutra (L.), within the River Dee system, Aberdeenshire, Scotland. J. Fish Biol. 37(6):935-944.
https://en.wiktionary.org/wiki/support	support		WORMS:127186	Salmo salar					http://purl.obolibrary.org/obo/RO_0002458	preyed upon by		WORMS:137076	Lutra lutra					GEONAMES:2651429	River Dee, Aberdeenshire, Scotland	57.0182	-3.3922			10.1111/j.1095-8649.1990.tb03597.x	Carss, D.N., H. Kruuk and J.W.H. Conroy 1990 Predation on adult Atlantic salmon, Salmo salar L., by otters, Lutra lutra (L.), within the River Dee system, Aberdeenshire, Scotland. J. Fish Biol. 37(6):935-944.
https://en.wiktionary.org/wiki/refute	refute		ITIS:872208	Heteropoda					http://purl.obolibrary.org/obo/RO_0002471	eaten by		WORMS:280214	Clepticus parrae												Rosemary Gillespie. Personal Communication. 2018
https://en.wiktionary.org/wiki/refute	refute		ITIS:872208	Heteropoda					http://purl.obolibrary.org/obo/RO_0002471	eaten by		WORMS:126558	Dibranchus atlanticus												Rosemary Gillespie. Personal Communication. 2018
https://en.wiktionary.org/wiki/refute	refute		ITIS:872208	Heteropoda					http://purl.obolibrary.org/obo/RO_0002471	eaten by		WORMS:282084	Paranthias furcifer												Rosemary Gillespie. Personal Communication. 2018
https://en.wiktionary.org/wiki/refute	refute		ITIS:872208	Heteropoda					http://purl.obolibrary.org/obo/RO_0002471	eaten by		WORMS:159807	Rhomboplites aurorubens												Rosemary Gillespie. Personal Communication. 2018
https://en.wiktionary.org/wiki/refute	refute		ITIS:872208	Heteropoda					http://purl.obolibrary.org/obo/RO_0002471	eaten by		WORMS:154721	Balistes capriscus												Rosemary Gillespie. Personal Communication. 2018
https://en.wiktionary.org/wiki/refute	refute		INAT_TAXON:123005	Camellia sinensis					http://purl.obolibrary.org/obo/RO_0002454	has host		INAT_TAXON:359271	Adoxophyes dubia										https://github.com/globalbioticinteractions/globalbioticinteractions.github.io/issues/65#issue-372019563		Jennifer Hammock. 2018. GitHub.  https://github.com/globalbioticinteractions/globalbioticinteractions.github.io/issues/65#issue-372019563 .
https://en.wiktionary.org/wiki/refute	refute		INAT_TAXON:359271	Adoxophyes dubia					http://purl.obolibrary.org/obo/RO_0002453	host of		INAT_TAXON:123005	Camellia sinensis										https://github.com/globalbioticinteractions/globalbioticinteractions.github.io/issues/65#issue-372019563		Jennifer Hammock. 2018. GitHub.  https://github.com/globalbioticinteractions/globalbioticinteractions.github.io/issues/65#issue-372019563 .
https://en.wiktionary.org/wiki/refute	refute		INAT_TAXON:47219	Apis mellifera					http://purl.obolibrary.org/obo/RO_0002455	pollinates		INAT_TAXON:47219	Apis mellifera												Jorrit Poelen. Personal Communication. 2019. 
https://en.wiktionary.org/wiki/refute	refute		ITIS:967737	Wolbachia pipientis					http://purl.obolibrary.org/obo/RO_0002445	has parasite		NCBI:7425	Nasonia vitripennis										https://github.com/globalbioticinteractions/globalbioticinteractions/issues/416#issuecomment-540011739		Ed Baker. 2019. GitHub. https://github.com/globalbioticinteractions/globalbioticinteractions/issues/416#issuecomment-540011739
https://en.wiktionary.org/wiki/refute	refute			Ceratina					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Chaetodactylus leleupi										https://github.com/globalbioticinteractions/globalbioticinteractions/issues/552#issuecomment-719788410		Katja Seltmann. 2020. Bee is not parasite of mite. Github. https://github.com/globalbioticinteractions/globalbioticinteractions/issues/552#issuecomment-719788410
